i,birth,death,dim,cavity,death_nodes
115,1961,2100,1,Inflection;Transformational-generative grammar,
116,1961,2100,1,Inflection;Prefix (linguistics),
117,1961,2100,1,Inflection;Radical (Chinese character),
118,1961,1963,1,Preposition;Grammatical mood;Inflection;Grammatical number;Syntax,Verb
119,1961,1962,1,Grammatical case;Inflection;Subject (grammar);Grammar;Grammatical tense;Grammatical voice,Infinitive
120,1961,2100,1,Consonant;Prefix (linguistics),
121,1961,2100,1,Vowel harmony;Preposition,
122,1961,1965,1,Telicity;Preposition;Grammatical mood;Declension;Inflection;Syntax;Linguistics,Grammatical conjugation
123,1962,2100,1,Discourse;Presupposition,
124,1962,2100,1,Applied linguistics;Speech therapy,
125,1962,2100,1,Grammatical case;Abessive case,
126,1962,2021,1,Speech therapy;Phonetics;Language;Speech processing;Linguistics;Speech synthesis,List of cognitive science topics
127,1962,2100,1,Manner of articulation;Speech therapy,
128,1962,2100,1,Affix;Inessive case,
129,1962,2100,1,Adessive case;Inessive case,
130,1963,2100,1,Scientific;Nomenclature,
131,1963,2100,1,Morpheme;Pleonasm,
132,1963,2100,1,Grammatical voice;Case in tiers,
133,1963,2100,1,Lexeme;Back-formation,
134,1963,2100,1,Presupposition;Coherence (linguistics),
135,1963,2100,1,Presupposition;Hermeneutics,
136,1963,2100,1,Consonant;Article (grammar),
137,1963,2100,1,Vowel harmony;Adposition,
138,1963,2100,1,Infinitive;Instructive case,
139,1963,2100,1,Noun phrase;Case in tiers,
140,1963,1964,1,Linguistics;False friend;Loanword;Etymology,Cognate
141,1963,2100,1,Case in tiers;Ergative case,
142,1963,2100,1,Exegesis;Hermeneutics,
143,1964,2100,1,Dictionary;Synonym,
144,1964,2100,1,Grammatical voice;Auxiliary verb,
145,1964,2100,1,Lexeme;Synonym,
146,1964,2100,1,Subject (grammar);Object–verb–subject,
147,1964,2100,1,Subject (grammar);Verb–object–subject,
148,1964,2021,1,Natural language understanding;Language;Linguistics;Natural language processing;Speech recognition;Semantics,List of cognitive science topics
149,1964,2100,1,Machine translation;Natural language understanding,
150,1964,2100,1,Natural language understanding;Phrase structure rules,
151,1964,2100,1,Preposition;X-bar theory,
152,1964,1966,1,Verb;Inflection;Aorist;Indo-european languages;Preterite;Fusional language;Morphology (linguistics);Perfect (grammar),Vowel stems
153,1964,2100,1,Nominative case;Quirky subject,
154,1964,2100,1,Noun;Initial-stress-derived noun,
155,1964,2100,1,Dative case;Thou,
156,1964,2100,1,Calque;T-v distinction,
157,1964,2100,1,Conjunct;Grammatical conjunction,
158,1965,2100,1,Morphology (linguistics);Agglutinative language,
159,1965,2100,1,Inflection;Suppletion,
160,1965,2015,1,Syllable;International Phonetic Alphabet;Phoneme;Metathesis (linguistics),List of phonetics topics
161,1965,2100,1,Syllable;Agglutination,
162,1965,2100,1,Syllable;Superlative,
163,1965,2100,1,Lexicon;Metathesis (linguistics),
164,1965,2100,1,Lexicon;Colloquialism,
165,1965,2100,1,Lexicon;Idiom,
166,1965,2100,1,Machine translation;Hypernym,
167,1965,2100,1,Machine translation;Hyponym,
168,1965,2100,1,Machine translation;Idiom,
169,1965,2100,1,Vowel harmony;Agglutination,
170,1965,2100,1,Pidgin;Onomatopoeia,
171,1965,2100,1,Genitive case;Dual grammatical number,
172,1965,2100,1,Adjective;Expletive attributive,
173,1965,2100,1,Copula (linguistics);Agglutinative language,
174,1965,2100,1,Uninflected word;Interjection,
175,1965,2100,1,Past tense;Homonym,
176,1965,2100,1,Capitonym;Homonym,
177,1965,2100,1,Superlative;Pleonasm,
178,1965,2100,1,Dual grammatical number;Vocative case,
179,1965,2100,1,Meaning (linguistic);Idiom,
180,1965,2100,1,Verbal noun;Supine,
181,1966,2100,1,Allophone;Vowel stems,
182,1966,2100,1,Vowel harmony;Postposition,
183,1966,2100,1,Synthetic language;Auxiliary verb,
184,1966,2100,1,Vocative case;Vowel stems,
185,1967,2100,1,Linguistic typology;Analytic language,
186,1967,2100,1,Variety (linguistics);Slang,
187,1967,2100,1,Interjection;Syntactic categories,
188,1982,2100,1,Vowel;Spiritus asper,
189,1997,2100,1,Alphabet;Abugida,
190,1998,2100,1,Language families and languages;Language isolate,
191,2008,2015,1,Syllable;International Phonetic Alphabet;Phoneme;Diphthong,List of phonetics topics
192,2012,2100,1,Subject (grammar);Impersonal verb,
193,2014,2015,1,Phonation;International Phonetic Alphabet;Creaky voice;Phonetics;Phoneme,List of phonetics topics
194,2015,2020,1,List of phonetics topics;Morpheme;Constructed language;International Phonetic Alphabet;Phonetics;Breathy voice;Allophone;Language;Morphology (linguistics),Tonal language
195,2015,2100,1,Tone (linguistics);Breathy voice,
196,2015,2100,1,List of phonetics topics;Vowel harmony,
197,2015,2100,1,Breathy voice;Copula (linguistics),
198,2016,2100,1,Allophone;Guttural consonant,
199,2017,2100,1,Cognate;Will (verb),
200,2017,2100,1,Thou;Will (verb),
201,2019,2100,1,Dialect;Sound change,
202,2019,2020,1,Constructed language;International Phonetic Alphabet;Dialect;Prosody (linguistics);Language,Tonal language
203,2019,2100,1,Dialect;Cognate,
204,2019,2100,1,Dialect;T-v distinction,
205,2020,2100,1,Pragmatics;Tonal language,
206,2020,2100,1,List of linguistic topics;Prescription and description,
207,2020,2100,1,Stylistics (linguistics);Present tense,
208,2020,2100,1,Stylistics (linguistics);Accent (sociolinguistics),
209,2020,2021,1,Linguistics;List of linguistic topics;Prescription and description;Linguistics basic topics,List of cognitive science topics
210,2020,2100,1,Grammatical number;Areal feature (linguistics),
211,2020,2100,1,Entailment;Linguistics basic topics,
212,2020,2100,1,Entailment;Implication (pragmatics),
213,2020,2100,1,Ipa chart for English;Linguistics basic topics,
214,2020,2100,1,Ideogram;Writing systems,
215,2020,2100,1,Ideogram;Linguistics basic topics,
216,2020,2100,1,Dialect;Areal feature (linguistics),
217,2020,2100,1,Ecolinguistics;Paradigm,
218,2020,2100,1,Language attrition;Linguistic layers,
219,2020,2100,1,Language attrition;Second language,
220,2020,2100,1,Click consonant;Areal feature (linguistics),
221,2020,2100,1,Glottal stop;Speech communication,
222,2020,2100,1,Tonal language;Abugida,
223,2020,2100,1,Infinitive;Areal feature (linguistics),
224,2020,2100,1,Germanic umlaut;Weak suppletion,
225,2020,2100,1,Pronunciation;Speech disorder,
226,2020,2100,1,Adposition;Prepositional phrase,
227,2020,2100,1,Prepositional phrase;Postposition,
228,2020,2100,1,Prepositional phrase;Clefting,
229,2021,2100,1,Transcription (linguistics);Diacritic,
230,2021,2100,1,Sampa;List of cognitive science topics,
231,2021,2100,1,List of cognitive science topics;General semantics,
232,2021,2100,1,List of cognitive science topics;Profanity,
233,2021,2100,1,List of cognitive science topics;Tongue-twister,
234,2021,2100,1,Acronym;Diacritic,
235,2021,2100,1,Noun;Diacritic,
236,2021,2100,1,Diacritic;Homonym,
237,2022,2100,1,Linguistic relativity;Unsolved problems in linguistics,
238,2022,2100,1,Diacritic;Breve,
239,2022,2100,1,Loanword;Circumflex,
240,2022,2100,1,Language isolate;Unsolved problems in linguistics,
241,2023,2100,1,Orthography;Rhotics,
242,2023,2100,1,Infinitive;Rhotics,
243,2023,2100,1,Breve;Macron (diacritic),
244,-300,1960,2,Writing;Phonetics;Linguistic layers;Language;Linguist;Phonology;Grammar,Semantics
245,-300,1959,2,Syntax;Language;Linguist;Phonology;Grammar;Linguistics,Language acquisition
246,-300,1959,2,Linguistic layers;Syntax;Language;Phonology;Grammar;Linguistics,Language acquisition
247,-300,2100,2,Phonology;Phoneme;Linguistic layers,
248,1600,2100,2,Translation;Machine translation;Linguistic layers,
249,1600,2100,2,Linguistic typology;Machine translation;Linguistic layers,
250,1700,2100,2,Language families and languages;Indo-european languages;Historical-comparative linguistics,
251,1779,2100,2,Sentence (linguistics);Speech synthesis;Linguistic layers,
252,1800,2100,2,Sociolinguistics;List of linguistic topics;Linguist,
253,1800,1961,2,Phonetics;Linguist;List of linguistic topics;Sociolinguistics;Linguistics;Linguistics basic topics,Pragmatics
254,1800,2100,2,Corpus linguistics;Linguist;Linguistics basic topics,
255,1800,1901,2,Syntax;Language;Linguist;Neurolinguistics;List of linguistic topics;Grammar;Linguistics,Descriptive linguistics
256,1800,1900,2,Phonetics;Neurolinguistics;List of linguistic topics;Linguist;Linguistics;Linguistics basic topics,Theoretical linguistics
257,1800,1853,2,Historical linguistics;Language;Linguist;Neurolinguistics;List of linguistic topics;Linguistics,Evolutionary linguistics
258,1800,1853,2,Historical linguistics;Language;Linguist;Neurolinguistics;Linguistics;Linguistics basic topics,Evolutionary linguistics
259,1800,1941,2,Language education;Phonetics;Linguist;List of linguistic topics;Linguistics;Linguistics basic topics,Applied linguistics
260,1800,2100,2,Semiotics;List of linguistic topics;Linguist,
261,1800,1960,2,Semiotics;Phonetics;Linguist;List of linguistic topics;Linguistics;Linguistics basic topics,Semantics
262,1800,2021,2,Language families and languages;Historical linguistics;Constructed language;Language;List of linguistic topics;Linguistics,List of cognitive science topics
263,1800,2100,2,Scientific;Rhetoric;Linguistics basic topics,
264,1800,2100,2,Linguist;Anthropological linguistics;Linguistics basic topics,
265,1800,2100,2,Linguist;Linguistic typology;Linguistics basic topics,
266,1800,2021,2,Language families and languages;Historical linguistics;Constructed language;Language;Linguistics;Linguistics basic topics,List of cognitive science topics
267,1800,2100,2,Rhetoric;History of linguistics;Linguistics basic topics,
268,1800,2100,2,Phoneme;Sound change;Linguistic layers,
269,1800,2100,2,Syllable;Alphabet;Linguistics basic topics,
270,1800,2100,2,Indo-european languages;Comparative method;Ablaut,
271,1800,2100,2,Indo-european languages;Comparative method;Etymologist,
272,1800,2100,2,Sound change;Comparative method;Linguistic layers,
273,1800,2100,2,Sound change;Comparative method;Etymologist,
274,1801,2100,2,Lexicography;List of linguistic topics;Linguist,
275,1801,1964,2,Phonetics;Linguist;List of linguistic topics;Lexicography;Linguistics;Linguistics basic topics,Lexicon
276,1801,2100,2,Translation;Linguist;Transcription (linguistics),
277,1801,2100,2,Translation;Transcription (linguistics);Linguistic layers,
278,1853,2100,2,Universal grammar;Evolutionary linguistics;Linguist,
279,1853,2100,2,Universal grammar;Evolutionary linguistics;Linguistic layers,
280,1859,2100,2,Grammar;Morphology (linguistics);Linguist,
281,1859,2100,2,Grammar;Morphology (linguistics);Linguistic layers,
282,1859,2100,2,Morphology (linguistics);Linguist;Consonant,
283,1859,2100,2,Morphology (linguistics);Writing systems;Linguistic layers,
284,1860,2100,2,Morphology (linguistics);Morpheme;Writing systems,
285,1860,2100,2,Stratificational linguistics;Morpheme;Linguistics basic topics,
286,1860,2100,2,Morpheme;Alphabet;Writing systems,
287,1860,2100,2,Morpheme;Alphabet;Linguistics basic topics,
288,1860,1963,2,Inflection;Morphology (linguistics);List of linguistic topics;Grammar;Linguistics;Grammatical tense;Linguistics basic topics,Lexeme
289,1860,2100,2,Inflection;Noun;Part of speech,
290,1860,2100,2,Grammatical gender;Indo-european languages;Pronoun,
291,1861,2100,2,Phoneme;Tone (linguistics);Writing systems,
292,1861,2100,2,Phoneme;Tone (linguistics);Linguistics basic topics,
293,1863,2100,2,Syllable;International Phonetic Alphabet;Semivowel,
294,1900,2021,2,Theoretical linguistics;Phonetics;Linguistic layers;Language;Phonology;Linguistics,List of cognitive science topics
295,1900,1901,2,Theoretical linguistics;Morphology (linguistics);Linguistic layers;Syntax;Language;Linguistics,Descriptive linguistics
296,1900,2100,2,Theoretical linguistics;Universal grammar;Linguist,
297,1900,2100,2,Theoretical linguistics;Universal grammar;Linguistic layers,
298,1900,2100,2,Phoneme;Minimal pair;Phonemics,
299,1901,2100,2,Linguist;Linguistic typology;Descriptive linguistics,
300,1901,2100,2,Linguist;Text linguistics;Descriptive linguistics,
301,1901,2100,2,Linguistic typology;Descriptive linguistics;Linguistic layers,
302,1901,2100,2,Text linguistics;Descriptive linguistics;Linguistic layers,
303,1930,2100,2,Tagmemics;Morpheme;Linguistics basic topics,
304,1930,2100,2,Tagmemics;Phoneme;Phone (phonetics),
